User,Bot,formatted
is there ectatic or aneurysmal enlargement of the abdominal aorta?,no,"User: is there ectatic or aneurysmal enlargement of the abdominal aorta? 
Bot: no
"
describe the size and density of this lesion?,"5.6cm focal, predominantly hypodense","User: describe the size and density of this lesion? 
Bot: 5.6cm focal, predominantly hypodense
"
is this a pa film?,yes,"User: is this a pa film? 
Bot: yes
"
the contrast is enhancing what inside the lesion?,calcifications,"User: the contrast is enhancing what inside the lesion? 
Bot: calcifications
"
is there a mass in the lung?,yes,"User: is there a mass in the lung? 
Bot: yes
"
are there any abnormalities with the shape of the aortic arch?,no,"User: are there any abnormalities with the shape of the aortic arch? 
Bot: no
"
where is the embolus located?,distal basilar artery,"User: where is the embolus located? 
Bot: distal basilar artery
"
where is the lesion?,right parietal lobe,"User: where is the lesion? 
Bot: right parietal lobe
"
is a pleural effusion present?,no,"User: is a pleural effusion present? 
Bot: no
"
are abdominal fat pads prominently visualized?,no,"User: are abdominal fat pads prominently visualized? 
Bot: no
"
is this image sufficient for a diagnosis?,no,"User: is this image sufficient for a diagnosis? 
Bot: no
"
what is the location of the mass?,right kidney,"User: what is the location of the mass? 
Bot: right kidney
"
where is/are the abnormality located?,right cerebellum,"User: where is/are the abnormality located? 
Bot: right cerebellum
"
is the heart contour backwards?,yes,"User: is the heart contour backwards? 
Bot: yes
"
is a pulmonary mass present?,no,"User: is a pulmonary mass present? 
Bot: no
"
how many masses are there?,one,"User: how many masses are there? 
Bot: one
"
is the left hemidiaphragm normal?,yes,"User: is the left hemidiaphragm normal? 
Bot: yes
"
is there fat stranding shown in this image?,yes,"User: is there fat stranding shown in this image? 
Bot: yes
"
is the largest cyst in the left or right kidney?,left kidney,"User: is the largest cyst in the left or right kidney? 
Bot: left kidney
"
what do the densities in the lung fields represent?,pleural plaques,"User: what do the densities in the lung fields represent? 
Bot: pleural plaques
"
what abnormality is seen in this image?,bilateral pleural effusion,"User: what abnormality is seen in this image? 
Bot: bilateral pleural effusion
"
"is this a t1 weighted, t2 weighted, or flair image?",flair,"User: is this a t1 weighted, t2 weighted, or flair image? 
Bot: flair
"
what does the hyperlucency indicate?,infarcts,"User: what does the hyperlucency indicate? 
Bot: infarcts
"
does this image show a normal gallbladder?,yes,"User: does this image show a normal gallbladder? 
Bot: yes
"
is the liver parenchyma normal?,yes,"User: is the liver parenchyma normal? 
Bot: yes
"
"is this a t1 weighted, t2 weighted, or flair image?",flair,"User: is this a t1 weighted, t2 weighted, or flair image? 
Bot: flair
"
is there a pneumothorax?,yes,"User: is there a pneumothorax? 
Bot: yes
"
are the ventricles visualized in this image?,no,"User: are the ventricles visualized in this image? 
Bot: no
"
what indicates that appendicitis is present?,periappendiceal fluid and fat stranding,"User: what indicates that appendicitis is present? 
Bot: periappendiceal fluid and fat stranding
"
how would you describe the abnormality?,diffuse,"User: how would you describe the abnormality? 
Bot: diffuse
"
what is the lighter substance around the gallbladder,pericholecystic fluid,"User: what is the lighter substance around the gallbladder 
Bot: pericholecystic fluid
"
are any of the ribs fractured?,no,"User: are any of the ribs fractured? 
Bot: no
"
what artery is the embolus from?,distal basilar artery,"User: what artery is the embolus from? 
Bot: distal basilar artery
"
what type of imaging was used?,mr - t2 weighted,"User: what type of imaging was used? 
Bot: mr - t2 weighted
"
what pathology does the hyperlucency represent?,embolus,"User: what pathology does the hyperlucency represent? 
Bot: embolus
"
how do you know that small bowel and colon are on different sides of midline?,haustra,"User: how do you know that small bowel and colon are on different sides of midline? 
Bot: haustra
"
which organ is affected?,pancreas,"User: which organ is affected? 
Bot: pancreas
"
how was this mri taken?,dwi,"User: how was this mri taken? 
Bot: dwi
"
what is the left kidney mass?,exophytic cyst,"User: what is the left kidney mass? 
Bot: exophytic cyst
"
what is the size of the lesion,almost entire right side,"User: what is the size of the lesion 
Bot: almost entire right side
"
is the occipital lobe present?,no,"User: is the occipital lobe present? 
Bot: no
"
what imaging modality is used?,mri - t1 weighted,"User: what imaging modality is used? 
Bot: mri - t1 weighted
"
"besides the mass in the temporal horn, are there other enhancements in the image?",yes,"User: besides the mass in the temporal horn, are there other enhancements in the image? 
Bot: yes
"
is the portal vein engorged?,no,"User: is the portal vein engorged? 
Bot: no
"
is this image normal?,no,"User: is this image normal? 
Bot: no
"
what is the location of the mass?,left temporal horn,"User: what is the location of the mass? 
Bot: left temporal horn
"
are the findings normal?,no,"User: are the findings normal? 
Bot: no
"
where is the lesion located?,left occipital lobe,"User: where is the lesion located? 
Bot: left occipital lobe
"
what organ is edematous in this image?,appendix,"User: what organ is edematous in this image? 
Bot: appendix
"
is there blood present?,no,"User: is there blood present? 
Bot: no
"
is a pneumothorax present in this image?,no,"User: is a pneumothorax present in this image? 
Bot: no
"
is the hyperinflation unilateral or bilateral?,bilateral,"User: is the hyperinflation unilateral or bilateral? 
Bot: bilateral
"
what area of cerebrum is visible?,temporal lobe,"User: what area of cerebrum is visible? 
Bot: temporal lobe
"
which lung has diffuse opacification?,right,"User: which lung has diffuse opacification? 
Bot: right
"
in what lobes are the lesions located?,bilateral parietal lobes,"User: in what lobes are the lesions located? 
Bot: bilateral parietal lobes
"
what are these hypodensities in the liver?,fat accumulations,"User: what are these hypodensities in the liver? 
Bot: fat accumulations
"
did this patient receive iv contrast?,yes,"User: did this patient receive iv contrast? 
Bot: yes
"
what modality is this image taken?,mri,"User: what modality is this image taken? 
Bot: mri
"
is the heart a normal size?,yes,"User: is the heart a normal size? 
Bot: yes
"
are the lungs normal?,no,"User: are the lungs normal? 
Bot: no
"
is there swelling around the lesion?,no,"User: is there swelling around the lesion? 
Bot: no
"
what is the image modality?,mri/flair,"User: what is the image modality? 
Bot: mri/flair
"
is the right vertebral artery normal?,no,"User: is the right vertebral artery normal? 
Bot: no
"
what is your differential diagnoses?,"metastases, infection/abcess, glioblastoma","User: what is your differential diagnoses? 
Bot: metastases, infection/abcess, glioblastoma
"
does the r vertebral artery appear normal?,no,"User: does the r vertebral artery appear normal? 
Bot: no
"
what is stranding in this image?,fat,"User: what is stranding in this image? 
Bot: fat
"
how would you describe the lesions?,loculated,"User: how would you describe the lesions? 
Bot: loculated
"
why are the breasts asymmetrical?,prior surgery,"User: why are the breasts asymmetrical? 
Bot: prior surgery
"
is there leakage of contrast?,no,"User: is there leakage of contrast? 
Bot: no
"
where on the image is most obscured?,right lung base,"User: where on the image is most obscured? 
Bot: right lung base
"
in what plane was this image taken?,axial,"User: in what plane was this image taken? 
Bot: axial
"
is the heart enlarged?,no,"User: is the heart enlarged? 
Bot: no
"
what is one organ system seen in this image?,respiratory system,"User: what is one organ system seen in this image? 
Bot: respiratory system
"
what is the bright round organ seen on the patient's left?,left kidney,"User: what is the bright round organ seen on the patient's left? 
Bot: left kidney
"
is there presence of pleural effusions in this patient?,no,"User: is there presence of pleural effusions in this patient? 
Bot: no
"
what is above the aorta in this image?,horsehoe kidney,"User: what is above the aorta in this image? 
Bot: horsehoe kidney
"
is there a pancreatic pseudocsyst?,no,"User: is there a pancreatic pseudocsyst? 
Bot: no
"
is the mass loculated?,yes,"User: is the mass loculated? 
Bot: yes
"
do we see diffuse cerebral edema in this mri?,no,"User: do we see diffuse cerebral edema in this mri? 
Bot: no
"
what is going on with this patient?,sinusitis,"User: what is going on with this patient? 
Bot: sinusitis
"
what position is the patient in for this image?,semi-upright position,"User: what position is the patient in for this image? 
Bot: semi-upright position
"
what are the hyperintensities signaling?,hemorrhage,"User: what are the hyperintensities signaling? 
Bot: hemorrhage
"
blunting of the costophrenic angles indicate what condition?,pleural effusion,"User: blunting of the costophrenic angles indicate what condition? 
Bot: pleural effusion
"
is there thickening of the peritoneum?,yes,"User: is there thickening of the peritoneum? 
Bot: yes
"
is this lesion loculated,no,"User: is this lesion loculated 
Bot: no
"
is the heart clearly visible?,no,"User: is the heart clearly visible? 
Bot: no
"
is there appendix normal or abnormal in appearance?,normal,"User: is there appendix normal or abnormal in appearance? 
Bot: normal
"
is there cardiomegaly?,no,"User: is there cardiomegaly? 
Bot: no
"
what does the blunting of the costophrenic angles indicate?,pleural effusion,"User: what does the blunting of the costophrenic angles indicate? 
Bot: pleural effusion
"
is the gallbladder enlarged?,yes,"User: is the gallbladder enlarged? 
Bot: yes
"
where is the mass located?,suprasellar,"User: where is the mass located? 
Bot: suprasellar
"
in what space/cavity is the abnormal organ located?,retroperitoneum; retroperitoneal space,"User: in what space/cavity is the abnormal organ located? 
Bot: retroperitoneum; retroperitoneal space
"
